Aircraft_Type,Aircraft_Config,Payload,Seats,Passengers,Freight,Mail,Ramp_to_Ramp,Air_Time,Distance_Group,Class,Aircraft_ID
698,1,31999,128,127,0,1858,258,235,4,F,189
694,1,36804,150,84,0,0,107,67,2,F,190
694,1,36640,150,144,0,0,66,52,1,F,191
634,1,48470,179,154,55,23,94,66,1,F,192
694,1,35090,150,150,865,0,215,194,4,F,193
694,1,36804,150,144,181,0,89,74,2,F,194
694,1,36867,150,89,0,0,172,144,3,F,195
698,1,36158,128,86,0,1615,152,128,3,F,196
698,1,32862,128,126,0,0,215,203,4,F,197
624,1,100549,242,200,0,0,199,179,3,F,198
626,1,82777,214,126,0,75,140,113,2,F,199
698,1,35433,128,106,10,539,108,89,2,F,200
614,1,42241,166,137,703,1350,88,70,2,F,201
698,1,35372,128,102,0,40,208,184,4,F,202
698,1,35936,128,121,0,0,123,111,2,F,203
694,1,36733,150,134,55,1976,198,175,4,F,204
614,1,34143,166,99,0,0,120,102,2,F,205
694,1,36072,150,128,0,0,194,178,3,F,206
614,1,42690,166,105,0,0,128,113,2,F,207
698,1,35554,128,126,77,1604,85,69,1,F,208
614,1,41831,166,162,0,65,136,97,2,F,209
698,1,35832,128,119,0,97,115,95,2,F,210
614,1,41556,166,124,11,0,82,63,2,F,211
624,1,98334,242,173,306,361,216,185,3,F,212
622,1,48320,169,161,0,1335,141,119,2,F,213
626,1,82502,214,207,0,707,137,110,2,F,214
614,1,43141,166,107,0,954,101,80,2,F,215
622,1,48843,169,166,85,404,223,204,4,F,216
614,1,41843,166,164,0,0,123,105,2,F,217
634,1,46360,179,97,42,0,123,105,2,F,218
694,1,34772,150,138,0,0,230,200,3,F,219
614,1,38790,166,38,0,0,134,99,2,F,220
694,1,36768,150,128,117,395,124,107,2,F,221
694,1,35694,150,109,0,0,141,119,2,F,222
622,1,48920,169,129,508,430,149,122,2,F,223
637,1,290384,732,385,8694,0,272,215,2,F,224
614,1,37980,166,159,0,679,132,114,2,F,225
614,1,36271,166,157,0,649,134,109,2,F,226
698,1,28852,128,125,24,260,148,111,2,F,227
614,1,28356,166,123,23,0,99,86,2,F,228
619,1,32200,143,107,85,0,292,248,3,F,229
619,1,32200,143,139,1026,0,176,164,3,F,230
619,1,32200,143,128,0,0,65,51,1,F,231
619,1,32200,143,121,944,0,110,97,2,F,232
619,1,32200,143,140,110,0,155,137,3,F,233
619,1,32200,143,128,96,0,145,128,3,F,234
619,1,32200,143,136,0,0,119,104,2,F,235
619,1,32200,143,133,0,0,153,138,2,F,236
619,1,32200,143,138,377,0,201,180,4,F,237
619,1,32200,143,139,760,0,149,118,2,F,238
614,1,43400,175,163,0,0,218,200,4,F,239
619,1,32200,143,141,26,0,89,73,2,F,240
619,1,32200,143,123,160,0,172,153,3,F,241
619,1,32200,143,84,0,0,153,137,3,F,242
614,1,43400,175,175,345,0,153,137,3,F,243
619,1,32200,143,143,569,0,205,189,3,F,244
619,1,32200,143,140,0,0,121,102,2,F,245
614,1,43400,175,171,0,0,228,212,4,F,246
619,1,32200,143,140,6,0,133,118,2,F,247
673,1,21803,76,61,0,0,182,159,3,F,248
673,1,21803,76,73,0,0,43,17,1,F,249
673,1,21803,76,70,0,0,164,139,3,F,250
673,1,21803,76,65,0,0,50,21,1,F,251
677,1,19092,70,60,0,0,98,74,2,F,252
677,1,19092,70,33,0,0,98,64,1,F,253
673,1,21803,76,65,0,0,89,64,1,F,254
673,1,21803,76,69,0,0,89,66,1,F,255
677,1,19092,70,52,0,0,90,68,1,F,256
673,1,21803,76,67,0,0,177,153,3,F,257
673,1,21803,76,52,0,0,100,80,2,F,258
698,1,30000,150,134,0,0,162,143,3,F,259
698,1,30000,150,143,0,0,161,142,3,F,260
698,1,30000,150,64,0,0,153,133,3,F,261
694,1,36000,180,178,0,0,183,109,2,F,262
698,1,30000,150,113,0,0,153,135,2,F,263
694,1,37200,180,180,0,0,213,189,4,F,264
698,1,30000,150,126,0,0,228,183,4,F,265
694,1,36000,180,136,0,0,119,95,2,F,266
694,1,37200,180,180,0,0,134,111,2,F,267
698,1,30000,150,110,0,0,131,113,2,F,268
694,1,37200,180,145,0,0,113,83,2,F,269
694,1,36000,180,151,0,0,115,93,2,F,270
694,1,36000,180,136,0,0,139,123,3,F,271
698,1,30000,150,142,0,0,193,154,3,F,272
694,1,37200,180,132,0,0,220,194,3,F,273
694,1,36000,180,171,0,0,152,125,2,F,274
698,1,30000,150,150,0,0,163,145,2,F,275
694,1,36000,180,169,0,0,214,192,4,F,276
694,1,36000,180,102,0,0,112,84,2,F,277
694,1,37200,180,180,0,0,179,134,2,F,278
694,1,36000,180,142,0,0,112,88,2,F,279
694,1,36000,180,152,0,0,152,121,2,F,280
694,1,37200,180,4,0,0,210,188,4,F,281
694,1,36000,180,140,0,0,172,159,3,F,282
691,2,107634,0,0,16753,0,191,159,2,G,283
730,2,136966,0,0,14986,0,136,115,2,G,284
691,2,104189,0,0,50142,0,216,181,2,G,285
691,2,104402,0,0,23383,0,176,151,3,G,286
691,2,107840,0,0,47075,0,95,72,1,G,287
691,2,104608,0,0,42470,0,108,90,2,G,288
691,2,107931,0,0,42190,0,60,42,1,G,289
730,2,136966,0,0,13780,0,147,129,2,G,290
740,2,193214,0,0,114987,0,101,82,2,G,291
691,2,107931,0,0,42190,0,221,198,3,G,292
740,2,193732,0,0,30465,0,133,115,2,G,293
698,1,29000,145,144,0,0,153,133,3,F,294
698,1,29000,145,127,0,0,159,142,2,F,295
638,1,20210,79,66,0,0,128,99,2,F,296
675,1,11118,50,45,0,0,72,53,1,F,297
675,1,11118,50,47,0,0,62,45,1,F,298
675,1,11118,50,43,0,0,157,141,3,F,299
675,1,12350,50,44,0,0,113,97,2,F,300
675,1,12350,50,48,1,0,164,120,2,F,301
405,1,27000,114,88,0,0,535,436,1,F,302
405,1,27000,114,94,0,0,617,526,1,F,303
675,1,10000,50,47,0,0,144,124,2,F,304
675,1,10000,50,47,0,0,50,23,1,F,305
675,1,10000,50,47,0,0,170,136,2,F,306
675,1,10000,50,49,0,0,149,127,2,F,307
622,2,79755,0,0,18239,5737,164,138,3,G,308
691,2,108025,0,0,32891,3787,104,86,2,G,309
622,2,79755,0,0,25727,0,148,123,3,G,310
622,2,79755,0,0,14991,218,87,60,1,G,311
691,2,108025,0,0,66035,0,94,57,1,G,312
694,1,79000,300,267,0,0,343,309,2,F,313
699,1,98300,362,322,428,0,329,274,2,F,314
694,1,79000,300,267,0,0,536,422,4,F,315
698,1,68892,264,251,188,0,211,179,2,F,316
888,1,98180,360,356,70,0,204,174,2,F,317
614,1,81740,320,287,0,194,144,108,1,F,318
631,1,35220,140,133,0,0,286,241,3,F,319
631,1,35220,140,122,0,0,206,176,2,F,320
631,1,37480,140,125,0,0,84,38,1,F,321
631,1,37480,140,124,0,0,78,36,1,F,322
673,1,30400,152,87,0,0,134,83,1,F,323
673,1,30400,152,91,0,0,236,191,2,F,324
673,1,30400,152,146,0,0,328,287,2,F,325
673,1,30400,152,138,0,0,282,227,2,F,326
629,1,13500,50,0,0,0,169,129,2,F,327
631,1,36480,139,73,0,0,112,73,1,F,328
673,1,30400,152,64,0,0,130,76,1,F,329
631,1,37480,140,0,0,0,242,196,2,F,330
673,1,30400,152,65,0,0,204,161,2,F,331
631,1,37480,140,96,0,0,440,394,3,F,332
673,1,30400,152,145,0,0,308,243,2,F,333
631,1,37480,140,108,0,0,223,178,2,F,334
694,1,72337,300,223,375,2511,416,310,3,F,335
694,1,72444,300,112,106,0,326,294,3,F,336
614,1,77848,332,314,0,0,471,413,3,F,337
694,1,70337,300,275,1391,2529,338,296,3,F,338
698,1,66423,256,244,0,2664,491,440,4,F,339
614,1,85088,332,322,0,0,371,334,3,F,340
694,1,73424,300,269,46,0,271,230,2,F,341
614,1,84704,332,180,0,0,139,107,1,F,342
614,1,82724,332,318,33,1852,368,328,3,F,343
694,1,73244,300,205,0,0,276,241,2,F,344
698,1,71109,256,243,104,3055,426,385,4,F,345
694,1,73314,300,250,114,0,217,182,2,F,346
614,1,83719,332,273,0,0,271,236,2,F,347
698,1,70764,256,211,19,957,536,450,4,F,348
694,1,73634,300,255,62,0,238,205,2,F,349
694,1,73000,300,220,4,0,322,286,3,F,350
614,1,78004,332,149,20,0,177,136,1,F,351
698,1,58924,256,166,0,698,214,175,2,F,352
698,1,69419,256,243,1,1532,422,381,4,F,353
694,1,59414,300,228,7,0,208,172,2,F,354
619,1,64400,286,217,0,0,214,166,2,F,355
614,1,86800,350,49,173,0,135,101,1,F,356
619,1,64400,286,165,190,0,401,363,3,F,357
619,1,64400,286,274,59,0,392,345,3,F,358
619,1,64400,286,254,1128,0,321,283,3,F,359
619,1,64400,286,265,431,0,267,237,2,F,360
619,1,64400,286,253,208,0,305,270,3,F,361
619,1,64400,286,204,565,0,150,124,1,F,362
619,1,64400,286,281,0,0,239,207,2,F,363
619,1,64400,286,274,1579,0,294,245,2,F,364
619,1,64400,286,275,13,0,278,239,2,F,365
619,1,64400,286,256,43,0,323,260,3,F,366
619,1,64400,286,236,210,0,294,252,2,F,367
673,1,43606,152,104,0,0,382,334,3,F,368
673,1,43606,152,112,0,0,291,251,3,F,369
673,1,43606,152,137,0,0,331,270,3,F,370
677,1,38184,140,132,0,0,247,188,2,F,371
673,1,43606,152,127,0,0,174,139,2,F,372
677,1,38184,140,137,0,0,196,149,1,F,373
698,1,60000,300,274,0,0,254,210,2,F,374
694,1,72000,360,295,0,0,226,177,2,F,375
694,1,73200,360,290,0,0,345,311,3,F,376
694,1,73200,360,299,0,0,238,198,2,F,377
698,1,60000,300,242,0,0,301,258,2,F,378
694,1,73200,360,289,0,0,482,416,3,F,379
694,1,73200,360,299,0,0,257,215,2,F,380
622,2,126608,0,0,39954,0,159,118,1,G,381
691,2,213861,0,0,67964,0,248,195,2,G,382
638,1,43004,152,143,0,0,361,326,3,F,383
638,1,43004,152,139,0,0,288,248,3,F,384
622,2,159510,0,0,33216,0,166,114,1,G,385
614,1,120700,480,396,2100,0,391,307,2,F,386
631,1,52830,210,177,0,0,268,206,2,F,387
631,1,52830,210,199,0,0,309,239,2,F,388
631,1,52830,210,199,0,0,342,277,2,F,389
631,1,52830,210,191,0,0,456,362,3,F,390
631,1,52830,210,166,0,0,419,353,2,F,391
631,1,52830,210,199,0,0,517,449,3,F,392
631,1,56220,210,166,0,0,218,167,1,F,393
629,1,40500,150,143,0,0,215,168,1,F,394
631,1,56220,210,136,0,0,325,211,2,F,395
629,1,40500,150,119,0,0,219,160,1,F,396
631,1,56220,210,193,0,0,301,239,2,F,397
673,1,45600,228,211,0,0,508,424,3,F,398
673,1,45600,228,192,0,0,444,381,3,F,399
631,1,54980,210,203,0,0,406,350,3,F,400
629,1,40500,150,115,0,0,234,188,1,F,401
629,1,40500,150,135,0,0,168,102,1,F,402
629,1,40500,150,141,0,0,442,357,2,F,403
631,1,54980,210,192,0,0,350,265,2,F,404
629,1,40500,150,131,0,0,406,334,2,F,405
631,1,56220,210,131,0,0,452,368,2,F,406
631,1,56220,210,201,0,0,396,312,2,F,407
631,1,56220,210,206,0,0,294,230,2,F,408
629,1,40500,150,147,0,0,360,298,2,F,409
631,1,55220,209,89,0,0,447,388,2,F,410
629,1,40500,150,90,0,0,263,211,1,F,411
629,1,40500,150,140,0,0,195,113,1,F,412
629,1,40500,150,147,0,0,403,335,2,F,413
631,1,54980,210,204,0,0,329,243,2,F,414
631,1,56220,210,107,0,0,191,146,1,F,415
614,1,122849,486,333,0,0,387,329,2,F,416
698,1,107090,384,368,133,0,680,635,3,F,417
614,1,116827,486,446,130,0,627,544,3,F,418
698,1,106955,384,358,472,5334,528,440,3,F,419
698,1,101729,384,346,568,3821,653,547,4,F,420
634,1,136854,537,462,0,4386,278,216,2,F,421
694,1,98048,450,331,0,0,366,305,2,F,422
614,1,125837,498,471,64,0,276,219,1,F,423
698,1,107620,384,346,1505,0,454,374,2,F,424
694,1,104148,450,379,34,0,355,305,2,F,425
614,1,118898,498,482,20,0,658,575,3,F,426
619,1,96600,429,336,884,0,236,179,1,F,427
614,1,130200,525,465,0,0,726,679,4,F,428
619,1,96600,429,412,119,0,597,502,3,F,429
612,1,103800,429,394,1352,0,762,716,4,F,430
614,1,130200,525,513,451,0,576,517,3,F,431
619,1,96600,429,388,368,0,409,355,2,F,432
619,1,96600,429,383,0,0,415,364,2,F,433
619,1,96600,429,400,318,0,275,226,2,F,434
614,1,86800,350,347,137,0,296,260,3,F,435
619,1,96600,429,424,107,0,431,388,3,F,436
619,1,96600,429,391,40,0,258,189,1,F,437
619,1,96600,429,385,2230,0,407,351,2,F,438
612,1,103800,429,417,95,0,574,523,4,F,439
614,1,130200,525,481,0,0,382,323,2,F,440
619,1,96600,429,417,1828,0,517,461,3,F,441
619,1,96600,429,330,18,0,432,386,2,F,442
619,1,96600,429,350,326,0,457,389,2,F,443
619,1,96600,429,374,559,0,318,274,2,F,444
619,1,96600,423,395,1105,0,513,463,2,F,445
619,1,96600,429,380,0,0,389,342,2,F,446
619,1,96600,429,427,0,0,483,433,3,F,447
619,1,96600,429,311,397,0,263,212,1,F,448
619,1,96600,429,400,833,0,375,333,2,F,449
614,1,130200,525,508,0,0,672,630,4,F,450
673,1,65409,228,203,0,0,246,169,1,F,451
673,1,65409,228,144,0,0,524,455,3,F,452
677,1,57276,210,200,0,0,578,523,3,F,453
673,1,65409,228,193,0,0,226,152,1,F,454
673,1,65409,228,190,0,0,467,375,3,F,455
677,1,57276,210,169,0,0,318,250,2,F,456
677,1,57276,210,197,0,0,384,318,2,F,457
673,1,65409,228,213,0,0,285,216,1,F,458
677,1,57276,210,122,0,0,329,237,2,F,459
677,1,57276,210,198,0,0,382,291,2,F,460
673,1,65409,228,196,0,0,400,273,2,F,461
673,1,65409,228,200,0,0,420,353,2,F,462
677,1,57276,210,198,0,0,370,277,2,F,463
677,1,57276,210,197,0,0,482,425,3,F,464
677,1,57276,210,206,0,0,293,222,1,F,465
677,1,57276,210,192,0,0,409,330,2,F,466
677,1,57276,210,130,0,0,335,272,2,F,467
698,1,90000,450,425,0,0,364,289,2,F,468
698,1,90000,450,424,0,0,343,271,2,F,469
699,1,138000,690,445,0,0,403,344,2,F,470
699,1,138000,690,517,0,0,527,420,2,F,471
694,1,109200,540,381,0,0,365,281,2,F,472
675,1,33354,150,126,0,0,256,204,1,F,473
675,1,33354,150,100,0,0,287,209,1,F,474
675,1,33354,150,123,0,0,307,244,2,F,475
675,1,33354,150,132,0,0,366,306,2,F,476
675,1,33354,150,141,0,0,350,286,2,F,477
675,1,33354,150,143,0,0,313,258,2,F,478
675,1,33354,150,92,0,0,396,342,2,F,479
675,1,33354,150,139,0,0,341,280,2,F,480
675,1,30000,150,142,0,0,464,392,2,F,481
622,2,239265,0,0,70464,0,376,311,2,G,482
673,1,79544,304,126,0,0,512,363,2,F,483
673,1,79544,304,169,0,0,452,358,2,F,484
655,1,146200,560,483,0,0,427,337,2,F,485
655,1,146200,560,541,11,0,494,380,2,F,486
631,1,70440,280,210,0,0,294,229,1,F,487
631,1,70440,280,265,0,0,279,210,1,F,488
631,1,70440,280,255,0,0,489,361,2,F,489
631,1,70440,280,274,0,0,518,364,2,F,490
629,1,54000,200,188,0,0,619,516,2,F,491
673,1,60800,304,260,0,0,530,425,2,F,492
673,1,60800,304,277,0,0,465,365,2,F,493
631,1,74960,280,236,0,0,424,332,2,F,494
631,1,74960,280,164,0,0,427,350,2,F,495
629,1,54000,200,187,0,0,539,436,2,F,496
631,1,74960,280,160,0,0,420,344,2,F,497
629,1,54000,200,191,0,0,458,352,2,F,498
673,1,60800,304,168,0,0,449,361,2,F,499
673,1,60800,304,293,0,0,548,414,2,F,500
629,1,47000,200,144,0,0,409,317,1,F,501
631,1,74960,280,253,0,0,488,362,2,F,502
698,1,142952,512,462,153,6943,724,648,3,F,503
634,1,164811,704,509,0,0,365,291,2,F,504
694,1,125284,600,395,31,0,508,405,2,F,505
614,1,155101,664,577,225,1540,720,653,3,F,506
694,1,136041,600,540,484,366,756,668,3,F,507
698,1,143189,512,438,24,0,670,572,3,F,508
694,1,137929,600,555,575,0,443,356,2,F,509
634,1,185611,704,623,125,0,356,295,2,F,510
614,1,156705,652,571,111,0,730,621,3,F,511
614,1,165940,664,588,104,180,645,552,3,F,512
694,1,144521,600,503,276,704,613,538,3,F,513
614,1,156861,652,479,5,0,606,535,2,F,514
694,1,140058,600,545,119,0,473,405,2,F,515
622,1,189366,676,638,0,0,1766,1681,7,F,516
614,1,201956,830,754,5,0,620,528,2,F,517
698,1,137741,512,456,209,2448,597,533,3,F,518
614,1,159711,664,615,1272,4337,837,738,4,F,519
698,1,144162,512,397,593,2230,772,700,4,F,520
634,1,154589,716,497,24,0,541,459,2,F,521
637,1,561174,1464,668,3711,0,593,484,2,F,522
634,1,175495,716,684,5,6610,715,635,3,F,523
694,1,144598,600,397,5,0,474,401,2,F,524
622,1,183058,676,642,0,0,1593,1526,7,F,525
614,1,154028,664,617,112,0,569,461,2,F,526
634,1,164356,716,650,19,0,488,408,2,F,527
614,1,173600,700,660,1861,0,265,209,1,F,528
614,1,173600,700,624,0,0,841,768,3,F,529
619,1,128800,566,506,505,0,479,411,2,F,530
614,1,173600,700,651,36,0,784,718,4,F,531
619,1,128800,572,549,0,0,577,466,2,F,532
619,1,128800,572,553,387,0,473,410,2,F,533
614,1,173600,700,677,509,0,570,508,2,F,534
619,1,128800,572,561,165,0,581,510,2,F,535
619,1,128800,572,543,1591,0,470,391,2,F,536
612,1,138400,572,542,0,0,936,853,4,F,537
614,1,173600,700,649,0,0,501,436,2,F,538
619,1,128800,572,516,8,0,339,237,1,F,539
619,1,128800,572,551,82,0,426,360,2,F,540
673,1,87212,304,276,0,0,593,493,2,F,541
677,1,76368,280,256,0,0,514,422,2,F,542
677,1,76368,280,242,0,0,446,339,2,F,543
673,1,87212,304,208,0,0,347,232,1,F,544
694,1,145200,720,693,0,0,557,460,2,F,545
698,1,120000,600,561,0,0,558,466,2,F,546
694,1,145200,720,577,0,0,611,527,2,F,547
698,1,120000,600,567,0,0,557,434,2,F,548
614,1,170239,648,505,0,1286,425,353,2,F,549
